country,consumerId,systemCreationDate,firstName,lastName,city,gender,birthDate,OptinValue
Eritrea,cc412861-dab9-4983-8565-dceeb498715e,2017-09-11,Tanner,Riley,North Rogerburgh,Male,1951-06-06,Yes
Greece,c2d0754c-1505-4648-9b80-9503795c6b9d,2018-01-11,Daniel,Crane,Lake Davidport,Female,1973-12-06,Yes
Czech Republic,c38583cd-2f51-4909-8901-6149269f42f2,2022-05-27,Gregory,Carpenter,Kaitlynmouth,Female,1966-12-12,No
Suriname,c5f26551-7eef-4951-b9ae-d90fe883ec49,2022-11-19,Bradley,Davis,North Cliffordport,Male,1991-11-12,No
Sao Tome and Principe,cd4adec3-63f2-40f1-8f8b-23079d618573,2021-01-03,Caroline,Hill,Josephmouth,Female,1947-12-25,No
Nepal,c1679d90-a895-4080-b7e7-cf5b3fb8d614,2019-12-30,Dorothy,Williamson,Garrisonshire,Female,1988-08-21,No
Indonesia,c08c854f-2f74-4c75-966d-0e1e01168a84,2022-09-23,Ethan,Young,Joshualand,Non-Binary,1947-06-10,No
Dominican Republic,cd1c7c42-7598-4eb2-b053-349c852a4673,2019-03-14,Cynthia,Thompson,Lake Angelabury,Female,1951-06-27,Yes
Jamaica,ce216c2a-87b2-46c9-a109-de987dabeb40,2022-05-25,Natalie,Walter,New Penny,Female,1984-11-19,No
Cyprus,c457499a-be41-43db-93d8-e5baab8d6321,2016-02-25,Donald,Thompson,West Ryanmouth,Male,1989-04-27,No
Micronesia,caff7aba-fef2-4217-a081-2d80f549dd7d,2016-03-26,Kristin,Rogers,Andersonland,Female,1947-05-14,Yes
Honduras,c73efc0a-6c93-4c31-b9d7-07fd46e5780b,2019-12-31,Katherine,Brooks,Lake Jillfurt,Non-Binary,1968-03-13,Yes
Bangladesh,c3f31938-fc34-48bf-a87f-7a2b81b62b25,2022-01-18,Bailey,Stevens,Kaitlynchester,Female,1962-07-09,No
Moldova,c7ad33e7-d5e2-4a34-a7fb-04b111719eac,2021-07-25,Steven,Walton,Carterberg,Non-Binary,1940-11-01,Yes
Cook Islands,cfd810e1-b787-41da-9637-65b7599bed74,2018-12-23,Crystal,Daugherty,Stewartland,Male,1947-06-03,Yes
Guatemala,cfee71f3-ee0d-47be-a260-de3be46d7f8a,2023-01-29,April,Lopez,East Cassandra,Male,1957-08-23,No
Cape Verde,cd1e46d2-1faa-4042-9687-dfb91de048d5,2021-08-15,Chad,Green,New Elizabeth,Male,1964-07-29,Yes
Canada,c6860c6d-372c-48f4-a21a-96d0022e6eb3,2017-09-19,David,Hawkins,New Suzanneberg,Non-Binary,1948-02-09,No
Barbados,c31dd736-b0a1-480b-94d3-812914775253,2023-05-06,Ethan,Carter,Richardsport,Male,1972-01-20,No
Spain,c31b4801-10e2-476c-93d9-7e68075b92d9,2021-07-14,Linda,James,South Michaelside,Male,1966-06-28,Yes
Montserrat,cd3e3ac9-7ac0-47c8-a0e9-826153dde141,2021-02-25,Jenny,Mitchell,Melissaview,Non-Binary,2005-07-31,No
Isle of Man,c3ed73f0-48a7-4d12-a4f8-eb8d7d312f36,2022-08-31,Regina,Hinton,Roblesshire,Non-Binary,1970-07-07,No
Bhutan,cd91c162-4751-4192-a229-ed9faf45a7c0,2022-06-09,Daniel,Rodriguez,Lake Steve,Non-Binary,2003-09-11,Yes
Tokelau,c3a774a1-b0d4-48d4-9d71-2fb34edecd0c,2020-12-03,Daniel,Weber,Robertport,Female,1979-01-13,No
French Southern Territories,cb59707f-bd37-4d99-a90c-ae0e5b023668,2016-05-23,Michael,Perez,North Johnnyside,Male,1965-10-21,Yes
Bouvet Island (Bouvetoya),c972509d-15a1-4d15-8975-fad067d8b7c0,2021-05-27,Elizabeth,Lewis,Owenhaven,Non-Binary,1943-05-26,Yes
China,c79b392b-9408-4056-9cf1-9e8207cb91cb,2020-08-28,Aaron,Howell,New Johnmouth,Female,1962-02-07,Yes
Micronesia,ce7046a7-a6d9-4c4e-9cc7-cc9631bf2beb,2021-07-28,Andrew,Mckay,Mccarthyville,Female,2001-04-06,Yes
South Georgia and the South Sandwich Islands,cc83ecbe-70f3-4e0d-8f6f-6187efae8965,2022-04-18,Carrie,Doyle,Ambermouth,Non-Binary,1970-10-06,No
Bulgaria,c2fdd16c-73ea-46ae-ad75-a471a70e93ae,2016-10-25,Raymond,Powers,East Johnshire,Male,1989-06-18,No
Mauritania,c3e41611-7862-4f84-bb2a-2992c0e07c15,2016-05-15,Courtney,Black,Lake Faithmouth,Non-Binary,2000-10-30,Yes
Greenland,c7459fb9-047e-4bb5-9c10-bb3d55088287,2017-02-10,Elizabeth,Turner,Richardsonfort,Male,1955-11-01,Yes
Belarus,c18d71f9-a2d7-4ca5-9ddd-2d5936a7c614,2017-03-09,Alejandro,Mueller,Kurtmouth,Female,1997-11-15,Yes
Somalia,c9c97e13-f3b5-4d11-8c6f-0c4912b2ca2c,2016-01-09,Antonio,Barrett,Port Timothy,Male,1966-04-22,No
Indonesia,c5069a74-4523-4d64-90de-7b3b9aa91895,2017-07-08,Patrick,Elliott,Kathrynberg,Female,1952-04-17,Yes
Libyan Arab Jamahiriya,c5715511-3d11-432e-af5e-ef774bf35572,2016-07-04,Brianna,Torres,Fieldshaven,Non-Binary,1963-10-25,No
United Arab Emirates,c41dc0c6-066f-43b4-b258-483a9cc45ce9,2020-08-16,Michael,Johnson,Hallville,Male,1978-12-10,No
French Southern Territories,c142c08e-a4d0-4787-85d1-02dfbbb2db88,2022-01-25,John,Burns,Marquezview,Male,1984-10-09,Yes
Ghana,c5059d93-4bca-4a80-a2a2-255d5a149373,2018-03-11,Gregory,Ellis,Novakland,Female,1983-08-20,No
Falkland Islands (Malvinas),c15d1fac-ae5c-4529-a65e-153fe8b3bbd4,2021-05-10,Amanda,Harris,Lake James,Female,1998-01-31,No
Zambia,c392cf56-e9d9-44c9-89fa-86687278a2f9,2018-10-20,Daniel,Johnson,Michaelfurt,Non-Binary,2004-10-12,No
Netherlands,cb181367-03bd-4d5a-87dc-a2b6f2e200c9,2023-11-26,Stacy,Torres,West Michael,Male,1993-07-06,Yes
Sao Tome and Principe,c556ec08-376f-4de9-82e2-357a891a7038,2023-04-11,Christian,Armstrong,Port Justinland,Non-Binary,1955-12-21,Yes
Norway,ccafb712-fc8d-47d5-a589-03ca64e605e4,2018-10-16,Amanda,Macias,Beckside,Male,1940-11-02,No
Aruba,c08e2fd5-7d65-489a-ba60-31a318c2a48a,2020-11-20,Michael,Campbell,South Kelsey,Male,1980-08-27,No
Nigeria,ce9cf68c-1f33-4fc6-af6b-a901882cd729,2022-12-02,Daniel,Valentine,Calebfurt,Female,1993-02-12,Yes
Croatia,c3200064-24a3-4c16-b3f4-6f5468bee1ff,2019-11-08,Mitchell,Miller,Meganmouth,Male,1989-11-30,Yes
Falkland Islands (Malvinas),c6e8a119-7905-40a7-8a06-929ffc11389b,2019-01-01,Jeremy,Reed,Port Shelleyport,Non-Binary,1964-10-04,Yes
Solomon Islands,cc45496b-80e3-4fc0-ab6f-a3db9dbd13ed,2016-06-03,Bryan,Cooper,West Todd,Male,1987-04-20,Yes
San Marino,cb95b54d-b048-467c-aabb-66d3305df120,2021-08-14,Anthony,Norris,Carmenview,Female,1995-08-03,No
Madagascar,c4cf8450-00ae-4c9e-b38f-a0574b5300db,2022-10-22,Francisco,Gilmore,North Paige,Male,1962-02-25,No
Australia,cb08fe25-bce9-4b6c-87a4-fb1b4fd78a54,2016-07-04,Wayne,Bernard,Lake Mary,Non-Binary,1946-02-15,Yes
Poland,c34dce74-106a-4362-a740-61c101c7463e,2016-05-30,Michelle,Hunter,Deleonbury,Female,1938-04-16,No
Austria,c38955ed-8778-4390-8307-b4a52380f8c5,2021-11-24,Steven,Coffey,West Craig,Male,2003-01-13,No
Iraq,c307bc24-cedc-4db9-938e-75b5ce0df05a,2023-11-05,Leslie,Woodward,East Lindseyfort,Female,1943-02-12,No
Malta,cd9b252e-f293-4831-8d9b-3704ff2e273e,2016-07-02,Jennifer,King,Johnsonborough,Female,1963-05-27,Yes
Yemen,c67c648a-3c08-4d4b-bbfc-dbeb12fdb33f,2022-05-09,Renee,Byrd,South Teresa,Male,1949-10-09,No
Bahamas,cf9f7535-d5bb-477e-94be-5d6716ecd897,2017-09-19,Tiffany,Thompson,Dominguezmouth,Female,1939-01-16,No
Holy See (Vatican City State),c463bf1e-c9e0-4c4c-b315-935b07dd7eb5,2021-12-26,Susan,Reilly,Clarkport,Female,1955-11-24,Yes
Finland,cd8d4dc0-790b-4b6c-a5d9-d4fdc1571af9,2016-07-20,Pamela,Clark,Lake Monicastad,Non-Binary,1939-09-28,No
Guyana,c92aa432-8653-41e0-abee-fc612ee0983c,2019-01-12,Deborah,Jackson,East Amberstad,Male,1983-04-03,Yes
Congo,cc3ea864-8be9-4d05-95c2-b364b0631a9d,2021-01-28,Cody,Lopez,Rodneyport,Female,1952-05-30,No
Sudan,c04e2b7a-919c-4034-a30a-cc4d00950617,2022-05-20,Daniel,Mendoza,Kennethbury,Non-Binary,1989-11-22,Yes
Fiji,c565164f-6c02-4c49-92f7-4ae34e2fa445,2023-01-17,Donna,Roberts,Reedfort,Female,1949-03-01,Yes
Eritrea,c033e045-0390-494e-b895-89d51c75babc,2017-12-29,Douglas,Contreras,Port Robert,Male,1948-10-28,Yes
Liberia,c5fb1747-3b9e-417b-9914-63f283b62ca5,2018-05-09,Traci,Hopkins,South Troyville,Female,1952-11-30,Yes
Jordan,cd4a2c76-754b-4765-b180-083879d645b9,2019-02-11,James,Burton,North Derrick,Non-Binary,1998-02-07,No
Swaziland,c55359e0-4685-4b37-a85c-c6a54ba729ca,2018-02-01,Gloria,Clark,Duartemouth,Female,1942-05-13,Yes
Lebanon,c5b1ae44-6abe-4d29-97f6-fb9ece9183be,2017-02-23,Martin,Peterson,Morrowshire,Female,1985-06-30,No
Burundi,ce943f5a-1669-457b-9eab-662127cb7db1,2020-01-25,Gregory,Rangel,Lake Beverly,Female,1995-01-10,Yes
Greenland,cfcd28d8-d1ee-4b70-b5f0-e66d5f0eb684,2017-11-25,Jorge,Maldonado,Thomasmouth,Female,1992-07-27,Yes
Bolivia,c008fa04-76ed-45ab-a23a-20b9bb81b66a,2022-09-10,Randy,Sampson,South Paulahaven,Male,1950-09-13,No
Bermuda,cef62906-77bb-428f-a134-42dc2badf15b,2020-11-21,James,Cowan,New Dustinshire,Non-Binary,1944-01-04,No
Kiribati,c1885163-7b89-4048-ad64-b16be1e4602c,2022-04-24,James,Tran,Haroldberg,Non-Binary,1979-02-10,Yes
Zimbabwe,c6993d61-ad7b-4f6b-94b4-e77c76c372f7,2023-12-16,Tiffany,Reyes,East Annaville,Non-Binary,1951-03-27,Yes
Namibia,cf1ed187-d3c1-400e-a5c7-c084dce23e95,2023-01-29,Jason,Johnson,West Cheryl,Female,1988-11-08,Yes
Syrian Arab Republic,cb9facad-36d8-40b1-9a4e-f4c8809a66d8,2018-11-29,Miguel,Martinez,Adamville,Female,1972-05-25,Yes
Portugal,cdc1be9d-9b7e-4a73-8870-a702db3c3823,2019-09-08,Jamie,Perry,Josephshire,Male,1947-11-21,No
Netherlands Antilles,c0f528b8-751c-4fd8-b476-b32c27351447,2016-04-27,Nicole,Townsend,Lake John,Male,1981-07-28,No
San Marino,c148abbf-b4f7-4dda-b63c-ea63c0fd4380,2022-10-10,Andrew,Abbott,New Carlhaven,Non-Binary,1991-02-18,No
Ethiopia,c457fb2a-e432-44b8-83e7-18ee4eb8d967,2016-05-30,Curtis,Green,Zacharyville,Male,1955-07-22,Yes
Djibouti,cfe2f5b7-d346-497c-8994-7c19c4b1f3b1,2022-02-12,John,Rice,Kingborough,Non-Binary,1969-07-19,No
Haiti,c5a87e3a-81f6-4a1e-b7c8-9e43a07f6e56,2020-01-24,Lisa,Green,Lake Danaborough,Male,1992-03-15,No
Liechtenstein,c0a81f70-7c34-49cb-b14c-acdd7c7e5edc,2022-01-22,Jonathan,Woods,Bradborough,Male,1942-03-29,Yes
Japan,c19100d7-60dd-44ea-bdef-f476d46299a9,2018-04-02,Makayla,Clarke,Lake Christine,Non-Binary,1998-08-21,No
South Georgia and the South Sandwich Islands,cff5e14b-8d48-4dc0-972d-9ab1de6e71e4,2017-04-10,Ashley,Gray,Chavezfort,Female,2005-10-03,No
Dominican Republic,c0d5c149-b272-4a9d-b9e8-0543e0fce356,2022-06-03,Pamela,Brady,Taylorbury,Male,1940-07-28,Yes
Kenya,c094326c-7776-419a-8ee4-4d92d64db200,2020-04-06,Samantha,Cameron,Bonillashire,Male,1940-12-24,No
Cuba,c541bc11-bc4a-4831-8800-31e77fd7b73b,2019-01-07,Jennifer,Gutierrez,North Andrew,Female,1965-03-23,Yes
Martinique,cb067d95-e216-4f86-bc7c-c2211f9b8743,2017-02-27,John,Webb,Elaineville,Female,1971-07-10,No
Uruguay,c3fe8f86-037d-4342-b05f-7d47a7753931,2018-10-16,George,Wyatt,Cassandrachester,Male,1950-10-24,Yes
Malta,c5ad7eb1-0ac5-4145-a719-65150a5ebb38,2021-08-26,Jonathon,Jones,Lake Michael,Female,1970-02-21,No
Montserrat,c43d329c-db27-4248-9170-678516a101ce,2017-11-01,John,Stokes,Kimfurt,Non-Binary,1993-12-10,Yes
Croatia,c96ebd8c-f00d-4e30-beef-8f625cb1577f,2017-01-06,Debra,Rios,West Alexanderberg,Male,1950-07-18,Yes
French Southern Territories,ca8934df-31a4-42fb-9775-f3dc49580680,2016-09-18,John,Daniels,Williamshaven,Non-Binary,2003-04-11,No
Afghanistan,c8e9f5ba-c3da-465d-87d2-4fafc919ef15,2019-05-07,Michael,Rice,Tonyaport,Male,1984-10-27,No
Burundi,ce4fc43a-fba2-4eb3-9dfc-36e10b947e37,2021-04-25,Denise,Jackson,Sherryland,Male,1955-08-01,Yes
Wallis and Futuna,cb645ee1-d0b9-47f9-8c80-c64d90b97359,2017-11-01,Joseph,Smith,Walkerhaven,Female,1971-06-04,No
Cameroon,c208bdf0-f15b-4a14-9b0c-f3e50d42ad5a,2016-04-25,Elizabeth,Camacho,Yolandaborough,Non-Binary,2005-11-18,Yes
Dominican Republic,ce871d0a-4ad2-48b1-87d1-69c0baac9af8,2023-04-05,Kimberly,Carlson,East Valerie,Non-Binary,1984-12-10,Yes
Senegal,c5cb93c4-cef3-4001-b5c1-55754fa91895,2021-04-10,Justin,Navarro,East Melissa,Female,1994-06-12,Yes
Martinique,cc3c9ba7-af0b-4e06-88b7-7a4f5cbe5224,2019-02-22,Tanya,Porter,Parkershire,Male,1992-06-01,Yes
Sierra Leone,c7ff4b87-c8b6-4f9b-9ef4-40a5342343f1,2020-04-23,Stephanie,White,Harrismouth,Male,1992-02-28,Yes
Trinidad and Tobago,c5daf131-4fab-4408-9c9c-eeecead78049,2019-08-16,Kelli,Harris,North Brian,Male,1942-02-28,No
Niger,cd394cf3-72f1-446f-bf1c-bf172933629f,2018-08-25,Amy,Boone,Lake Jameschester,Female,1969-03-16,No
Svalbard & Jan Mayen Islands,c0d4bb49-d8b7-42e6-9697-b4e13f9b659a,2020-04-17,Jonathan,Macias,Michaelville,Non-Binary,2003-08-25,Yes
Gibraltar,c458664b-0c36-4f4e-a8ae-67800947f38e,2017-09-30,Samuel,West,Weeksmouth,Female,1968-05-25,No
Cook Islands,c575c9d1-c402-4002-b8a6-c7bf7d797bf4,2021-05-28,William,Wheeler,South Lancestad,Male,1949-11-29,Yes
Costa Rica,c08c2a09-2760-460c-b0de-dbe7aa89e941,2018-09-10,Sean,Walters,Scottview,Male,1986-06-04,No
Eritrea,c30506b4-d544-453c-8099-c62fa06662e7,2019-07-27,Joseph,Miller,Chrishaven,Non-Binary,1959-12-07,No
Central African Republic,c35a5296-46cd-4755-891d-74642b388fef,2018-12-21,Erin,Stevenson,Phillipsburgh,Male,1960-08-05,Yes
Maldives,cab37a0e-4a1d-482f-8a18-11fd0b4f34cc,2020-08-31,James,Holder,Lake Davidland,Male,1969-09-25,No
Rwanda,cbdcd6bd-69d7-48cb-a0e6-bacacbb30097,2018-03-25,Leslie,Osborn,New Matthewburgh,Male,1984-06-27,No
Armenia,cc70b514-306b-4d9b-b675-9657b17d9e91,2018-05-20,Dalton,Mendoza,Aguirrehaven,Male,1958-06-13,Yes
Sweden,c31b8592-8952-49db-9ccc-ee34800ce83d,2023-07-14,Matthew,Dunn,Davidfort,Male,1966-05-10,No
Zimbabwe,cddd2dd5-9cb2-4f62-a4c1-6b4375b2b906,2019-02-15,Paula,Moore,East Lindaton,Non-Binary,1999-04-22,Yes
Haiti,c0d17fdc-38a3-4ff3-ba3d-92fdaca10790,2021-02-23,Michael,Marshall,Danielland,Non-Binary,1984-02-04,No
Isle of Man,c76fd327-856a-4279-accf-319ed2b4d64b,2022-11-06,Tammy,Miller,Gardnerborough,Male,1970-09-26,No
Algeria,cff3fdae-1168-48d0-9161-e4372f73e495,2019-03-30,Calvin,Mccann,South Michaelshire,Non-Binary,1970-12-25,Yes
Isle of Man,c6e5b8c6-cd97-430c-97c9-110b71a05d3e,2023-04-06,Chase,Sanders,Dustinview,Female,1963-04-25,Yes
Zimbabwe,cac62803-e26a-42b7-b15e-d8748b25b186,2021-01-11,Rhonda,Silva,Port Lindabury,Female,1957-03-16,Yes
Bangladesh,cce2f2a2-554e-45b8-bb64-b746e5e63378,2018-02-26,Lindsey,Barnett,Port Megan,Male,1997-01-16,No
Montserrat,c5d15437-4748-4ae0-af89-d89c6c4258e8,2020-03-23,Kristopher,Cooper,East Donald,Female,1984-02-13,Yes
Morocco,cd8314ec-1a1f-4c00-86bd-eac6e6eb223d,2017-12-27,Justin,Gill,Port Chad,Female,1950-04-11,Yes
France,c1f68f56-cc3b-48d7-86d4-97a6096c7c9b,2018-01-31,Christopher,Barnes,Kennethchester,Female,1968-09-21,Yes
Georgia,c04d24df-92f0-468f-bd5d-fec41c9f730b,2016-06-09,Danielle,Johnson,West Lindsaychester,Male,1987-12-26,Yes
Somalia,c7fa07a0-0661-4268-a523-f7f21adf2fce,2016-06-25,Jason,Brooks,Yolandashire,Female,1991-05-13,No
Palau,c11b074d-e7ac-49c4-bc50-e175e033501f,2021-04-06,Julian,Curry,Brockview,Male,1938-09-07,No
Oman,c1e0bc20-2e8e-4cb2-bec5-61159262fe31,2019-05-08,Brian,Lloyd,West Matthewshire,Non-Binary,1970-09-20,Yes
Jamaica,c27c280f-492a-4bdc-af95-3e7cb3ae9de1,2022-03-11,Christopher,Calderon,East Lawrence,Non-Binary,1980-06-01,Yes
Lao People's Democratic Republic,c90cb089-977d-46b5-a78c-890a4b911565,2019-08-29,Patricia,Boyle,Lake Carlfurt,Female,1975-02-27,Yes
